Student,LPIPS,SSIM
111598002.jpg,0.0,1.0
1_138_111C52034.jpg,0.37597373127937317,0.6209961297776401
108820015.jpg,0.3857109546661377,0.6158697955190655
108590017.jpg,0.3907071352005005,0.6187610230269733
1_138_111598061.jpg,0.4138883054256439,0.5627572893349394
111598040.jpg,0.4182049632072449,0.5428845841103964
1_138.jpg,0.4196317493915558,0.606185584887229
1_138_111598078.jpg,0.42059603333473206,0.5655267494308673
1_138_111C52002.jpg,0.4207795262336731,0.5357908487371065
1_138_108590033.jpg,0.4259975552558899,0.5865840388021852
1_138_108aea006.jpg,0.4306142330169678,0.5829740397547412
1_138_108820018.jpg,0.4309625029563904,0.5357699486060785
111598087.jpg,0.4317222535610199,0.5926905397512455
1_138_111598092.jpg,0.4323263466358185,0.5938228959391455
1_138_111C52030.jpg,0.4325113594532013,0.544116280296943
1_138_111598081.jpg,0.43683716654777527,0.5667963786511957
1_138_111598082.jpg,0.43761882185935974,0.6143872830044412
110AEM002.jpg,0.43959712982177734,0.58535478102936
111598026.jpg,0.44483983516693115,0.6270808907547101
111598069.jpg,0.44552743434906006,0.5890440796521783
1_138_108590001.jpg,0.4461888074874878,0.5776773701011831
111598042.jpg,0.44676658511161804,0.6050917185183957
111598001.jpg,0.4472038447856903,0.539103782392184
1_138_108590020.jpg,0.4503976106643677,0.5246002517927171
111598023.jpg,0.4534901976585388,0.5932919564947773
111598071.jpg,0.45528697967529297,0.573616266481448
108590037.jpg,0.45785555243492126,0.5848583864758311
111598006.jpg,0.45841339230537415,0.6095703366565245
110598097_png.jpg,0.4589272737503052,0.5594083642065213
1_138_111598012.jpg,0.4604261517524719,0.4936235627332896
111598058.jpg,0.4620727300643921,0.5778979614833027
111598041.jpg,0.46542051434516907,0.536125919884291
111598038.jpg,0.46735188364982605,0.6026909874487633
1_138_108820032.jpg,0.4722791910171509,0.5993594619084943
1_138_111598076.jpg,0.4744184911251068,0.5674588880769985
111598075 (1).jpg,0.47682011127471924,0.5545970525267283
1_138_107590060.jpg,0.4859372079372406,0.5930659743643271
1_138_111598052.jpg,0.48725563287734985,0.5817879730140069
111598066.jpg,0.48877036571502686,0.5499993430945443
109590005.jpg,0.4913500249385834,0.6089033154133169
1_138_111598401.jpg,0.49437737464904785,0.5009829693701564
1_138_111598025.jpg,0.49635016918182373,0.5534956612275083
1_138_111598033.jpg,0.5019096732139587,0.5833238652890409
1_138_109598109.jpg,0.5088054537773132,0.4799926132829537
Aligned.jpg,0.5171360373497009,0.5244358818159103
1_138_111598070.jpg,0.5174059271812439,0.5878951396076454
111C52007.jpg,0.5193637013435364,0.5871518260893492
111598044.jpg,0.5205168724060059,0.6061684124902498
111368101.jpg,0.531663715839386,0.587983477196942
1_138_111598068.jpg,0.5385832786560059,0.4366673734847719
1_138_111598036.jpg,0.5397538542747498,0.5671044942719373
110AEM001.jpg,0.5479703545570374,0.5125666379958698
1_138_111598030.jpg,0.5593065023422241,0.6341704048014124
1_138_107590049.jpg,0.5657160878181458,0.5253664412227642
1_138_108820038.jpg,0.5709736943244934,0.5896020097300512
